Freq,S11_r,S11_i,S21_r,S21_i,S22_r,S22_i
1.095,-0.08737239430488863,0.016978868197404864,0.24979459553265465,0.8433275103296761,0.07174997530352174,-0.05048347512729366
1.0955,-0.0872622451198286,0.01742865719160966,0.2431683850259739,0.8451446074663762,0.07382523061229414,-0.04971631771938059
1.096,-0.08713757091411586,0.017890792077326384,0.23658399132836516,0.847063754234902,0.0757472198820581,-0.048903565870471795
1.0965,-0.08703308078344311,0.01833757226380872,0.22996862218568165,0.84881712257907,0.07768947135522641,-0.04808433665638391
1.097,-0.08690633964014999,0.01880094650175243,0.22332066188676222,0.8505374850907135,0.0796005881496188,-0.0472310506699879
1.0975,-0.08679191050079298,0.019259491085929434,0.21664403307566085,0.8521527120353266,0.08144787877180433,-0.04638728024271853
1.098,-0.08668966448825194,0.019720123153412664,0.2099863356723011,0.8537805288608922,0.08332454382659038,-0.045477198191198
1.0985,-0.08655244649439935,0.020164812736273185,0.20331941909834156,0.8553474016663508,0.08519830343621904,-0.04455113939966371
1.099,-0.0864545823461514,0.020624740335419944,0.19662559137348729,0.8568908660096926,0.08699044268832874,-0.043729713264471136
1.0995,-0.08632175672459189,0.021091303058672933,0.1899617305321363,0.8583699118923983,0.08860814750834066,-0.04283102253316863
1.1,-0.08620172069572583,0.021550783015998304,0.183275730166993,0.8598408745516208,0.09031231627885528,-0.04187648952725152
1.1005,-0.08607280222576541,0.022010240432234526,0.17654916212191296,0.8612605779900614,0.0921037796354587,-0.040827293377727156
1.101,-0.08592130503333073,0.02245861048313677,0.16981126774844693,0.8625110051064337,0.09369707612591771,-0.03981975825342074
1.1015,-0.08578983018248794,0.02291444759288018,0.1630662406759907,0.8637243388337552,0.09536616649262937,-0.03876944597294023
1.102,-0.08570930239553456,0.023390592486587772,0.15634248457234767,0.8650651853529908,0.09686340806707155,-0.03783786116504544
1.1025,-0.08556607758346557,0.023841260391269548,0.14959656221140408,0.8662070005004657,0.09835721603434122,-0.036828112819536685
1.103,-0.08543749158724993,0.02430020199632628,0.14283218865258915,0.8673728206315101,0.09986452504459455,-0.035745450173308775
1.1035,-0.0853059641601658,0.024759779982675548,0.13606226455941417,0.8684109358596258,0.10134271211204841,-0.03469041381905075
1.104,-0.08519236913621223,0.025226641124053234,0.12926577973407094,0.8693842887973231,0.1027667800355141,-0.033606965822303284
1.1045,-0.08508340533391565,0.025701593038498713,0.12248854799748633,0.8703337110195062,0.10407644534173179,-0.032567576503525
1.105,-0.08497049257056952,0.026159026938857466,0.11571219430018186,0.8712743115414623,0.10539844220605368,-0.031554573855228696
1.1055,-0.08485077064558247,0.026623628840020203,0.10892275201849821,0.87215813483913,0.10665689151159193,-0.030425371289983592
1.106,-0.08470408341199057,0.027072733656085757,0.10211852362340164,0.8729376960730345,0.10789097442802334,-0.029270324787088194
1.1065,-0.08458805810550789,0.027554866959006344,0.09531370513574941,0.873679822846738,0.10908017953905493,-0.028103379475817758
1.107,-0.08443854043415716,0.02800827549853123,0.08849481245132136,0.8744500245240339,0.11024505862691786,-0.026962739148570634
1.1075,-0.0842913456973393,0.028456123626019042,0.08168007352831812,0.875065244655503,0.11139441448890942,-0.02572620324851308
1.108,-0.08415061942817345,0.028919201503621816,0.07485190777011248,0.875653036319426,0.11243162015310529,-0.024571077273419516
1.1085,-0.08402752951560286,0.029381005797013887,0.0680376947421203,0.8762281591426435,0.1134382677125838,-0.02337359900103726
1.109,-0.08390180884833637,0.0298469060334927,0.06120769690250371,0.8766931402211252,0.11442139646390205,-0.022167126602504077
1.1095,-0.08375457801515118,0.030298344748550407,0.054379115976899046,0.8771840457877407,0.11534252487795896,-0.020971464893591914
1.11,-0.08363158323587411,0.030772500352797966,0.047555210752594244,0.8776325358338994,0.11622564769041888,-0.0197422586841277
1.1105,-0.08347394776828737,0.03123994497501463,0.040710933175524266,0.8779369518874217,0.11709164545950862,-0.018456087025480086
1.111,-0.08332541540588911,0.03169561862732728,0.03387687962872151,0.8782255005852753,0.11782396559320633,-0.01728398813512485
1.1115,-0.08317345542589742,0.032149065821846054,0.027044651601580937,0.8784225540193954,0.1186060610927298,-0.015908015629635938
1.112,-0.08301912040365245,0.03260095985138947,0.020203815393205028,0.8786027937896468,0.11934454179818896,-0.014575261045112753
