Freq,S11_r,S11_i
1480000000.0,-0.000937471329147863,-0.0023092553737369672
1490000000.0,-0.0009580138340454983,-0.0022971977636666334
1500000000.0,-0.0009757017532061315,-0.002293768369110697
1510000000.0,-0.0009991620712203394,-0.0022805390725448476
1520000000.0,-0.0010236774990048558,-0.002277260225987692
1530000000.0,-0.001042347187677395,-0.002262148408676256
1540000000.0,-0.001064749056434774,-0.002252195328639178
1550000000.0,-0.0010875218336485045,-0.002246316447816271
1560000000.0,-0.0011095859830824932,-0.00222771530161186
1570000000.0,-0.0011236642947380618,-0.0022177359314852116
1580000000.0,-0.001147220651875658,-0.0022076723724022574
1590000000.0,-0.0011670844986066268,-0.0021911615533524377
1600000000.0,-0.0011850452823943224,-0.0021751617166865804
1610000000.0,-0.0012042001822591688,-0.0021727194869592195
1620000000.0,-0.0012344149646000932,-0.002145868622109816
1630000000.0,-0.001245999219763477,-0.002146825641455513
1640000000.0,-0.0012695846623893418,-0.0021218850419800137
1650000000.0,-0.0012878758467797249,-0.002105584210356342
1660000000.0,-0.001296770737670578,-0.0020949071221643793
1670000000.0,-0.001335718638740033,-0.002078088642722177
1680000000.0,-0.001352336211166755,-0.0020541160130874616
1690000000.0,-0.0013657482111978309,-0.0020413235741748802
1700000000.0,-0.0013989643483721217,-0.002019443913157133
1710000000.0,-0.0014097962607678746,-0.0020015906127213794
1720000000.0,-0.001434254794035187,-0.0019757688093058954
1730000000.0,-0.001449360163706009,-0.001966544577127919
1740000000.0,-0.0014700611690224978,-0.0019434790517564604
1750000000.0,-0.001477378171417009,-0.0019231251049133663
1760000000.0,-0.001503797719376822,-0.0018937999391045368
1770000000.0,-0.0015161546869098452,-0.0018863855920532443
1780000000.0,-0.0015370800917983425,-0.0018718961273232312
1790000000.0,-0.0015612994961658269,-0.0018462691320494367
1800000000.0,-0.0015750902816813771,-0.001814303978113077
1810000000.0,-0.001587459331647953,-0.0018125891991495006
1820000000.0,-0.0016107182533892563,-0.001792584889257902
1830000000.0,-0.001623469762045454,-0.0017635299433783657
1840000000.0,-0.0016364086691289593,-0.0017463605169631916
1850000000.0,-0.0016500384902315617,-0.0017338723078008085
1860000000.0,-0.0016608181128273732,-0.0016982424353112332
1870000000.0,-0.0016919729129331428,-0.001694286389702715
1880000000.0,-0.0017123993302963555,-0.0016617623976448858
1890000000.0,-0.0017092136951279246,-0.0016472208559272152
1900000000.0,-0.001729433348558133,-0.001621356931797511
1910000000.0,-0.0017490675502479687,-0.0015902043026574351
1920000000.0,-0.0017589390400008583,-0.001567416253420214
1930000000.0,-0.001768760829533575,-0.0015554500871172304
1940000000.0,-0.0017799420662153581,-0.0015096588825754494
1950000000.0,-0.0018012309731807205,-0.0015064834000916483
1960000000.0,-0.0018144639023548231,-0.001470271070306092
1970000000.0,-0.001833850840693857,-0.0014533177722308372
1980000000.0,-0.0018487948258482745,-0.0014301135288151384
1990000000.0,-0.0018585917793410111,-0.0013935251106660406
2000000000.0,-0.0018856687401304973,-0.0013619957964586303
