Frequency (GHz),xn1_sq,xn2_sq,xn1_xn2_conj
1.158,3.981158603670132e-21,-5.452212324761051e-18,(-1.6338230765660932e-20-2.7278711884041457e-20j)
1.159,3.98094215760232e-21,-5.455795832936076e-18,(-2.19821892052777e-20-2.261677373356821e-20j)
1.16,3.981327450924898e-21,-5.44767916183982e-18,(-1.7301248374289204e-20-3.8265541853092386e-20j)
1.161,3.981208010072867e-21,-5.456982372789417e-18,(-1.124956647558754e-20-3.1333480133237584e-20j)
1.162,3.981124665416975e-21,-5.4501295096284366e-18,(-2.2278477727259304e-20-2.5489841801780058e-20j)
1.163,3.981537183480206e-21,-5.448765562960427e-18,(-1.6995056485610298e-20-3.7072089879255033e-20j)
1.164,3.981347791094074e-21,-5.448610390040173e-18,(-2.6998619822094992e-20-3.231750772646742e-20j)
1.165,3.981891989123689e-21,-5.447597533346777e-18,(-1.9306451784001148e-20-2.740650534703517e-20j)
1.166,3.982360953073192e-21,-5.45316271578394e-18,(-1.890931849520707e-20-3.418680524074258e-20j)
1.167,3.9819227313389774e-21,-5.448747174356525e-18,(-1.9367885941363426e-20-1.5567519746891722e-20j)
1.168,3.981342368922436e-21,-5.438771021514851e-18,(-1.3580331456559112e-20-3.9171700858594034e-20j)
1.169,3.9817924268319175e-21,-5.4410867887102e-18,(-1.3221062172298535e-20-2.4753774874999356e-20j)
1.17,3.982458978696851e-21,-5.441395392976276e-18,(-1.6225592972770417e-20-4.5689441977583386e-20j)
1.171,3.981631783824863e-21,-5.442052441328137e-18,(-1.3466498773944808e-20-2.6257873805537253e-20j)
1.172,3.9828119958840926e-21,-5.437805100354854e-18,(-9.890917804362995e-21-3.128687103770695e-20j)
1.173,3.982265424634667e-21,-5.439012780741625e-18,(-1.4711077327672198e-20-3.99450555605566e-20j)
1.174,3.982303438659188e-21,-5.43441613271132e-18,(-1.151168928493974e-20-2.595764130343509e-20j)
1.175,3.9822669536112016e-21,-5.4403184033083456e-18,(-1.0603570504322033e-20-3.307393430862587e-20j)
1.176,3.982597056279989e-21,-5.435582424471953e-18,(-2.1723697627887716e-20-3.02204040308425e-20j)
1.177,3.982034586202603e-21,-5.4348200803291174e-18,(-2.1280111438250308e-20-3.141506692105718e-20j)
1.178,3.982387661911127e-21,-5.4398414389634805e-18,(-1.3572476189489963e-20-3.249216427500069e-20j)
1.179,3.982519454305022e-21,-5.43865392184144e-18,(-7.736914156658512e-21-2.2882828971428162e-20j)
1.18,3.982556061970508e-21,-5.431029973650701e-18,(-1.0568923192696423e-20-4.3179221843322395e-20j)
1.181,3.982767858722999e-21,-5.424952598341173e-18,(-1.7329903868275184e-20-3.2506707562930846e-20j)
1.182,3.982488058935217e-21,-5.423115746194424e-18,(-1.5964888661690103e-20-4.1061184479232327e-20j)
1.183,3.983087484329849e-21,-5.42859456280804e-18,(-2.110668108955868e-20-2.6535760571425157e-20j)
1.184,3.982776139403814e-21,-5.4295337662115796e-18,(-1.1521675710984755e-20-2.2758005158578268e-20j)
1.185,3.9826509628868056e-21,-5.427040764996412e-18,(-5.135742440082655e-21-3.641765100291107e-20j)
1.186,3.982698969181256e-21,-5.431381547896802e-18,(-1.6463699859597216e-20-2.6062230964527217e-20j)
1.187,3.982539099302281e-21,-5.427072377768717e-18,(-1.2790663465305403e-20-2.887123386466681e-20j)
1.188,3.98278170195738e-21,-5.421921221682057e-18,(-2.076950311582232e-20-3.011338683396844e-20j)
1.189,3.982732330417019e-21,-5.426583121408689e-18,(-1.9601343064841482e-20-3.542494173524654e-20j)
1.19,3.9828299039222956e-21,-5.419023281428359e-18,(-1.578268505272494e-20-3.771898414202344e-20j)
1.191,3.983321336502379e-21,-5.420296912543406e-18,(-1.8819274656206512e-20-3.865850446698004e-20j)
1.192,3.983148667195818e-21,-5.420783920721055e-18,(-1.4917586737589424e-20-3.021237219196431e-20j)
1.193,3.982923315744338e-21,-5.423099213745457e-18,(-1.6496541050598098e-20-4.3059502980839804e-20j)
